target,draft_model,device,draft_tps,T_verify_s,R,optimal_K,goodput_at_optimal_K
Qwen3-32B,Qwen3-4B,RPi 4B,1.34,2.0,2.68,2,0.6723603438695298
Qwen3-32B,Qwen3-4B,RPi 5,3.11,0.1,0.311,2,3.160120104675314
Qwen3-32B,Qwen3-4B,RPi 5,3.11,0.2,0.622,2,2.7852927390940696
Qwen3-32B,Qwen3-4B,RPi 5,3.11,0.5,1.555,2,2.054300298707356
Qwen3-32B,Qwen3-4B,RPi 5,3.11,1.0,3.11,3,1.4384312692848917
Qwen3-32B,Qwen3-4B,RPi 5,3.11,2.0,6.22,4,0.9813722349133177
Qwen3-32B,Qwen3-4B,Jetson AGX Orin,33.7,0.1,3.3700000000000006,3,14.950661378176653
Qwen3-32B,Qwen3-4B,Jetson AGX Orin,33.7,0.2,6.740000000000001,7,10.149162442413159
Qwen3-32B,Qwen3-4B,Jetson AGX Orin,33.7,0.5,16.85,7,5.846938866195255
Qwen3-32B,Qwen3-4B,Jetson AGX Orin,33.7,1.0,33.7,7,3.4262774437040986
Qwen3-32B,Qwen3-4B,Jetson AGX Orin,33.7,2.0,67.4,7,1.8743211284779144
Qwen3-32B,Qwen3-8B,RPi 4B,0.72,0.1,0.072,2,0.8396064491662285
Qwen3-32B,Qwen3-8B,RPi 4B,0.72,0.2,0.144,2,0.811410710201691
Qwen3-32B,Qwen3-8B,RPi 4B,0.72,0.5,0.36,2,0.7371460011323837
Qwen3-32B,Qwen3-8B,RPi 4B,0.72,1.0,0.72,2,0.6395825598060387
Qwen3-32B,Qwen3-8B,RPi 4B,0.72,2.0,1.44,2,0.505716442637333
Qwen3-32B,Qwen3-8B,RPi 5,1.78,0.1,0.17800000000000002,2,1.974672814991402
Qwen3-32B,Qwen3-8B,RPi 5,1.78,0.2,0.35600000000000004,2,1.825482763604106
Qwen3-32B,Qwen3-8B,RPi 5,1.78,0.5,0.89,2,1.4881790280454235
Qwen3-32B,Qwen3-8B,RPi 5,1.78,1.0,1.78,2,1.137787669590284
Qwen3-32B,Qwen3-8B,RPi 5,1.78,2.0,3.56,3,0.810936353003048
Qwen3-32B,Qwen3-8B,Jetson AGX Orin,24.03,0.1,2.4030000000000005,3,13.291971760494157
Qwen3-32B,Qwen3-8B,Jetson AGX Orin,24.03,0.2,4.806000000000001,3,9.200169539066092
Qwen3-32B,Qwen3-8B,Jetson AGX Orin,24.03,0.5,12.015,7,5.522277252891192
Qwen3-32B,Qwen3-8B,Jetson AGX Orin,24.03,1.0,24.03,10,3.3904218130112675
Qwen3-32B,Qwen3-8B,Jetson AGX Orin,24.03,2.0,48.06,10,1.9871866051803901
